id,immOpt,delOpt,odds,probability,delay,task
1,4.99850045,50,9,10,30,loss
2,4.995504046,50,9,10,90,loss
3,4.991016171,50,9,10,180,loss
4,4.98181637,50,9,10,365,loss
5,4.945843019,50,9,10,1095,loss
6,12.49625112,50,3,25,30,loss
7,12.48876012,50,3,25,90,loss
8,12.47754043,50,3,25,180,loss
9,12.45454093,50,3,25,365,loss
10,12.36460755,50,3,25,1095,loss
11,24.99250225,50,1,50,30,loss
12,24.97752023,50,1,50,90,loss
13,24.95508085,50,1,50,180,loss
14,24.90908185,50,1,50,365,loss
15,24.72921509,50,1,50,1095,loss
16,37.49812791,50,0.333,75,30,loss
17,37.47564926,50,0.333,75,90,loss
18,37.44198178,50,0.333,75,180,loss
19,37.37296602,50,0.333,75,365,loss
20,37.10309842,50,0.333,75,1095,loss
21,44.99100315,50,0.111,90,30,loss
22,44.96403282,50,0.111,90,90,loss
23,44.9236379,50,0.111,90,180,loss
24,44.84083142,50,0.111,90,365,loss
25,44.51703887,50,0.111,90,1095,loss
26,9.9970009,100,9,10,30,loss
27,9.991008093,100,9,10,90,loss
28,9.982032342,100,9,10,180,loss
29,9.96363274,100,9,10,365,loss
30,9.891686038,100,9,10,1095,loss
31,24.99250225,100,3,25,30,loss
32,24.97752023,100,3,25,90,loss
33,24.95508085,100,3,25,180,loss
34,24.90908185,100,3,25,365,loss
35,24.72921509,100,3,25,1095,loss
36,49.9850045,100,1,50,30,loss
37,49.95504046,100,1,50,90,loss
38,49.91016171,100,1,50,180,loss
39,49.8181637,100,1,50,365,loss
40,49.45843019,100,1,50,1095,loss
41,74.99625581,100,0.333,75,30,loss
42,74.95129852,100,0.333,75,90,loss
43,74.88396355,100,0.333,75,180,loss
44,74.74593204,100,0.333,75,365,loss
45,74.20619683,100,0.333,75,1095,loss
46,89.9820063,100,0.111,90,30,loss
47,89.92806564,100,0.111,90,90,loss
48,89.8472758,100,0.111,90,180,loss
49,89.68166283,100,0.111,90,365,loss
50,89.03407775,100,0.111,90,1095,loss
51,0.263157895,50,9,10,30,loss
52,0.090909091,50,9,10,90,loss
53,0.04587156,50,9,10,180,loss
54,0.022727273,50,9,10,365,loss
55,0.007598784,50,9,10,1095,loss
56,0.657894737,50,3,25,30,loss
57,0.227272727,50,3,25,90,loss
58,0.114678899,50,3,25,180,loss
59,0.056818182,50,3,25,365,loss
60,0.01899696,50,3,25,1095,loss
61,1.315789474,50,1,50,30,loss
62,0.454545455,50,1,50,90,loss
63,0.229357798,50,1,50,180,loss
64,0.113636364,50,1,50,365,loss
65,0.037993921,50,1,50,1095,loss
66,1.974177755,50,0.333,75,30,loss
67,0.681988679,50,0.333,75,90,loss
68,0.344122728,50,0.333,75,180,loss
69,0.17049717,50,0.333,75,365,loss
70,0.057005133,50,0.333,75,1095,loss
71,2.368657918,50,0.111,90,30,loss
72,0.818263645,50,0.111,90,90,loss
73,0.412885325,50,0.111,90,180,loss
74,0.204565911,50,0.111,90,365,loss
75,0.068395897,50,0.111,90,1095,loss
76,0.526315789,100,9,10,30,loss
77,0.181818182,100,9,10,90,loss
78,0.091743119,100,9,10,180,loss
79,0.045454545,100,9,10,365,loss
80,0.015197568,100,9,10,1095,loss
81,1.315789474,100,3,25,30,loss
82,0.454545455,100,3,25,90,loss
83,0.229357798,100,3,25,180,loss
84,0.113636364,100,3,25,365,loss
85,0.037993921,100,3,25,1095,loss
86,2.631578947,100,1,50,30,loss
87,0.909090909,100,1,50,90,loss
88,0.458715596,100,1,50,180,loss
89,0.227272727,100,1,50,365,loss
90,0.075987842,100,1,50,1095,loss
91,3.94835551,100,0.333,75,30,loss
92,1.363977358,100,0.333,75,90,loss
93,0.688245456,100,0.333,75,180,loss
94,0.340994339,100,0.333,75,365,loss
95,0.114010265,100,0.333,75,1095,loss
96,4.737315837,100,0.111,90,30,loss
97,1.636527289,100,0.111,90,90,loss
98,0.82577065,100,0.111,90,180,loss
99,0.409131822,100,0.111,90,365,loss
100,0.136791795,100,0.111,90,1095,loss
101,1.785178732,50,9,10,30,loss
102,1.784108588,50,9,10,90,loss
103,1.782505775,50,9,10,180,loss
104,1.779220132,50,9,10,365,loss
105,1.766372507,50,9,10,1095,loss
106,4.99850045,50,3,25,30,loss
107,4.995504046,50,3,25,90,loss
108,4.991016171,50,3,25,180,loss
109,4.98181637,50,3,25,365,loss
110,4.945843019,50,3,25,1095,loss
111,12.49625112,50,1,50,30,loss
112,12.48876012,50,1,50,90,loss
113,12.47754043,50,1,50,180,loss
114,12.45454093,50,1,50,365,loss
115,12.36460755,50,1,50,1095,loss
116,25.00500475,50,0.333,75,30,loss
117,24.99001524,50,0.333,75,90,loss
118,24.96756464,50,0.333,75,180,loss
119,24.92154262,50,0.333,75,365,loss
120,24.74158589,50,0.333,75,1095,loss
121,37.49812791,50,0.111,90,30,loss
122,37.47564926,50,0.111,90,90,loss
123,37.44198178,50,0.111,90,180,loss
124,37.37296602,50,0.111,90,365,loss
125,37.10309842,50,0.111,90,1095,loss
126,3.570357464,100,9,10,30,loss
127,3.568217176,100,9,10,90,loss
128,3.565011551,100,9,10,180,loss
129,3.558440264,100,9,10,365,loss
130,3.532745014,100,9,10,1095,loss
131,9.9970009,100,3,25,30,loss
132,9.991008093,100,3,25,90,loss
133,9.982032342,100,3,25,180,loss
134,9.96363274,100,3,25,365,loss
135,9.891686038,100,3,25,1095,loss
136,24.99250225,100,1,50,30,loss
137,24.97752023,100,1,50,90,loss
138,24.95508085,100,1,50,180,loss
139,24.90908185,100,1,50,365,loss
140,24.72921509,100,1,50,1095,loss
141,50.0100095,100,0.333,75,30,loss
142,49.98003048,100,0.333,75,90,loss
143,49.93512927,100,0.333,75,180,loss
144,49.84308525,100,0.333,75,365,loss
145,49.48317178,100,0.333,75,1095,loss
146,74.99625581,100,0.111,90,30,loss
147,74.95129852,100,0.111,90,90,loss
148,74.88396355,100,0.111,90,180,loss
149,74.74593204,100,0.111,90,365,loss
150,74.20619683,100,0.111,90,1095,loss
151,0.093984962,50,9,10,30,loss
152,0.032467532,50,9,10,90,loss
153,0.0163827,50,9,10,180,loss
154,0.008116883,50,9,10,365,loss
155,0.002713851,50,9,10,1095,loss
156,0.263157895,50,3,25,30,loss
157,0.090909091,50,3,25,90,loss
158,0.04587156,50,3,25,180,loss
159,0.022727273,50,3,25,365,loss
160,0.007598784,50,3,25,1095,loss
161,0.657894737,50,1,50,30,loss
162,0.227272727,50,1,50,90,loss
163,0.114678899,50,1,50,180,loss
164,0.056818182,50,1,50,365,loss
165,0.01899696,50,1,50,1095,loss
166,1.316447698,50,0.333,75,30,loss
167,0.454772841,50,0.333,75,90,loss
168,0.229472534,50,0.333,75,180,loss
169,0.11369321,50,0.333,75,365,loss
170,0.038012927,50,0.333,75,1095,loss
171,1.974177755,50,0.111,90,30,loss
172,0.681988679,50,0.111,90,90,loss
173,0.344122728,50,0.111,90,180,loss
174,0.17049717,50,0.111,90,365,loss
175,0.057005133,50,0.111,90,1095,loss
176,0.187969925,100,9,10,30,loss
177,0.064935065,100,9,10,90,loss
178,0.0327654,100,9,10,180,loss
179,0.016233766,100,9,10,365,loss
180,0.005427703,100,9,10,1095,loss
181,0.526315789,100,3,25,30,loss
182,0.181818182,100,3,25,90,loss
183,0.091743119,100,3,25,180,loss
184,0.045454545,100,3,25,365,loss
185,0.015197568,100,3,25,1095,loss
186,1.315789474,100,1,50,30,loss
187,0.454545455,100,1,50,90,loss
188,0.229357798,100,1,50,180,loss
189,0.113636364,100,1,50,365,loss
190,0.037993921,100,1,50,1095,loss
191,2.632895395,100,0.333,75,30,loss
192,0.909545682,100,0.333,75,90,loss
193,0.458945069,100,0.333,75,180,loss
194,0.22738642,100,0.333,75,365,loss
195,0.076025855,100,0.333,75,1095,loss
196,3.94835551,100,0.111,90,30,loss
197,1.363977358,100,0.111,90,90,loss
198,0.688245456,100,0.111,90,180,loss
199,0.340994339,100,0.111,90,365,loss
200,0.114010265,100,0.111,90,1095,loss
201,5,50,9,10,0,loss
202,10,100,9,10,0,loss
203,12.5,50,3,25,0,loss
204,25,100,3,25,0,loss
205,25,50,1,50,0,loss
206,50,100,1,50,0,loss
207,37.50937734,50,0.333,75,0,loss
208,75.01875469,100,0.333,75,0,loss
209,45.00450045,50,0.111,90,0,loss
210,90.0090009,100,0.111,90,0,loss
211,1.785714286,50,9,10,0,loss
212,3.571428571,100,9,10,0,loss
213,5,50,3,25,0,loss
214,10,100,3,25,0,loss
215,12.5,50,1,50,0,loss
216,25,100,1,50,0,loss
217,25.01250625,50,0.333,75,0,loss
218,50.02501251,100,0.333,75,0,loss
219,37.50937734,50,0.111,90,0,loss
220,75.01875469,100,0.111,90,0,loss
221,49.9850045,50,0,100,30,loss
222,99.970009,100,0,100,30,loss
223,49.95504046,50,0,100,90,loss
224,99.91008093,100,0,100,90,loss
225,49.91016171,50,0,100,180,loss
226,99.82032342,100,0,100,180,loss
227,49.8181637,50,0,100,365,loss
228,99.6363274,100,0,100,365,loss
229,49.45843019,50,0,100,1095,loss
230,98.91686038,100,0,100,1095,loss
231,2.631578947,50,0,100,30,loss
232,5.263157895,100,0,100,30,loss
233,0.909090909,50,0,100,90,loss
234,1.818181818,100,0,100,90,loss
235,0.458715596,50,0,100,180,loss
236,0.917431193,100,0,100,180,loss
237,0.227272727,50,0,100,365,loss
238,0.454545455,100,0,100,365,loss
239,0.075987842,50,0,100,1095,loss
240,0.151975684,100,0,100,1095,loss
